category,published_at,title,link,summary,content
경제,2025-11-28T07:15:22z,"현대차·기아, 안성에 첫 배터리 개발 거점 조성…“전기차 배터리 기술 내재화 박차”",https://www.khan.co.kr/article/202511281601001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=economy_news,"현대차·기아 미래 모빌리티 배터리 안성 캠퍼스 조감도. 현대차그룹 제공현대차·기아가 전동화 경쟁력 강화를 위해 국내에 대규모 배터리 개발 거점을 조성한다.현대차·기아는 28일 경기도 안성시 제5일반산업단지 내에서 ‘미래 모빌리티 배터리 안성 캠퍼스(배터리 캠퍼스) 상량식’을 열었다.상량식은 지난 1월 착공한 배터리 캠퍼스의 안전한 시공을 기원하고, 배터리 ···","현대차·기아 미래 모빌리티 배터리 안성 캠퍼스 조감도. 현대차그룹 제공 현대차·기아가 전동화 경쟁력 강화를 위해 국내에 대규모 배터리 개발 거점을 조성한다. 현대차·기아는 28일 경기도 안성시 제5일반산업단지 내에서 ‘미래 모빌리티 배터리 안성 캠퍼스(배터리 캠퍼스) 상량식’을 열었다. 상량식은 지난 1월 착공한 배터리 캠퍼스의 안전한 시공을 기원하고, 배터리 연구개발 인프라의 본격적 구축을 알린다는 차원에서 마련됐다. 배터리 캠퍼스는 19만7000㎡의 부지에 연면적 11만1000㎡ 규모로 조성된다. 현대차·기아는 총 1조2000억원을 투자해 2026년 말 준공을 목표로 공사를 벌이고 있다. 배터리 캠퍼스는 현대차·기아가 개발한 배터리 설계·공정 기술을 검증하는 그룹 최초의 배터리 특화 연구개발 거점이다. 완성차 제조사와 배터리 산업간 협력체계가 중요해지는 상황에서 차량 관점에서 필요한 성능과 안전 기준을 반영해 배터리를 개발·검증하는 것이 배터리 캠퍼스의 역할이라고 현대차·기아는 전했다. 현대차·기아는 배터리 캠퍼스 내 전극-조립-활성화 등 셀 제조 전 공정을 수행할 수 있는 설비를 갖추고, 배터리 기술의 적용 가능성과 품질, 안전성을 검증할 계획이다. 이를 통해 셀 설계 기술과 차량 시스템과 연계된 통합 제어 기술을 직접 확보하고, 소재-셀-모듈-팩-차량으로 이어지는 전 주기 관점에서 배터리 성능과 안전성을 종합 검증하는 연구개발(R&D) 체계를 내재화한다는 구상이다. 현대차·기아는 연구개발 과정 전반에 데이터 해석 기술과 시험 자동화, 인공지능(AI) 기반 예측 모델도 적용한다. 현대차·기아는 배터리 캠퍼스 완공 시 전기차, EREV(주행거리 연장형 전기차) 등에 탑재될 고성능 리튬이온 배터리 셀을 중심으로 한 연구를 우선 수행하고, 배터리 개발 과정에서 축적한 노하우를 로보틱스·AAM 등 미래 신사업 전반으로 확장할 방침이다. 이번 배터리 캠퍼스 구축은 울산 수소연료전지 공장, 화성 기아 PBV 전용 공장에 이어 추진되는 대규모 국내 투자 프로젝트라는 점에서 의미가 있다고 현대차·기아는 강조했다. 앞서 현대차그룹이 발표한 125조2000억원 규모 국내 투자 전략을 전동화·배터리 R&D 분야에서 구체화한 사례라는 설명이다. 이날 행사에서 현대차·기아는 경기도, 안성시, 경기주택도시공사, 윤종군 국회의원과 배터리 캠퍼스를 지역 이차전지 산업 발전을 이끄는 배터리 허브로 육성한다는 내용을 담은 업무협약(MOU)도 체결했다. 현대차·기아 R&D본부장 양희원 사장은 “배터리 캠퍼스는 국내 배터리 생태계를 유기적으로 연결함으로써 산업 간 협업과 기술 고도화를 촉진하는 출발점이 될 것”이라고 말했다. 28일 경기도 안성시 제5일반산업단지 내에서 열린 ‘미래 모빌리티 배터리 안성 캠퍼스 상량식’ 행사에서 (사진 왼쪽부터) 김보라 안성시장, 현대차·기아 R&D본부장 양희원 사장, 김동연 경기도지사, 윤종군 안성시 국회의원, 경기주택도시공사 김용진 사장이 배터리 캠퍼스의 성공적 구축을 위한 업무협약을 체결하고 있다. 현대차그룹 제공"
경제,2025-11-28T07:15:22z,"한국 기업, 46개월 연속 경기 부진 체감…“업종별 양극화”",https://www.khan.co.kr/article/202511281554001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=economy_news,"한국경제인협회 표지석. 한국경제인협회 제공국내 기업들이 46개월 연속 경기 부진을 체감하고 있는 것으로 나타났다. 특히 제조업은 반도체 관련 업종과 나머지 업종에서 양극화가 나타나고 있다.한국경제인협회가 28일 600대 기업(매출액 기준)을 대상으로 기업경기실사지수(BSI)를 조사한 결과, 다음달 BSI 전망치는 98.7을 기록한 것으로 나타났다. BSI는···","한국경제인협회 표지석. 한국경제인협회 제공 국내 기업들이 46개월 연속 경기 부진을 체감하고 있는 것으로 나타났다. 특히 제조업은 반도체 관련 업종과 나머지 업종에서 양극화가 나타나고 있다. 한국경제인협회가 28일 600대 기업(매출액 기준)을 대상으로 기업경기실사지수(BSI)를 조사한 결과, 다음달 BSI 전망치는 98.7을 기록한 것으로 나타났다. BSI는 경기에 대한 기업들의 판단과 예측을 지수화한 것이다. 기준선(100)을 넘으면 경기를 긍정적으로, 넘지 못하면 부정적으로 판단·예측한다는 뜻이다. 조사 결과, 다음달 BSI 전망치는 2022년 4월(99.1)을 시작으로 3년9개월째 기준선을 밑돌았다. 기업가들이 실제 경험한 현재의 경기 상황을 바탕으로 응답한 이달 BSI 실적치는 98.1로, 2022년 2월(91.5)부터 3년10개월(46개월)째 기준치보다 낮았다. 국내 기업들의 제조업과 비제조업 전망은 엇갈렸다. 다음달 제조업 BSI는 이달(96.8) 대비 4.9포인트 하락한 91.9로 1년9개월째 연속 부진을 면치 못하고 있다. 반면 비제조업 BSI는 이달 전망치(92.8)에서 12.4포인트 상승한 105.2로, 지난 8월(98.3)부터 3개월 연속 부진 전망에서 벗어났다. 업종별로는 양극화가 나타났다. 제조업 분야(10개 업종)는 반도체 관련 업종인 일반·정밀 기계 및 장비와 전자·통신장비가 각각 119.0과 111.1로 호조 전망을 보였고, 섬유·의복·가죽·신발(100.0)은 기준선에 걸쳐 있었다. 하지만 비금속 소재·제품(69.2), 의약품(75.0), 금속·금속가공(78.6), 석유정제·화학(80.0), 종이·목재·가구(85.7), 식음료·담배(87.5), 자동차·기타운송장비(97.1) 등 7개 업종은 여전히 부진 전망을 기록했다. 비제조업 분야(7개 업종)는 건설업(95.5) 외에 모두 호조가 전망됐다. 한경협은 “(비제조업 분야는) 연말 특수 등 계절적 요인과 민간소비 회복세가 비제조업 기업 심리 상승을 견인했다”면서도 “(제조업 분야는) 반도체 호황으로 관련 산업에서 일부 회복세가 예상되나 부동산 경기 둔화로 인한 비금속 소재·제품 업종 부진, 철강 관세로 인한 금속 및 금속가공 업황 악화로 제조업 전반의 기업 심리가 위축되고 있다”고 분석했다. 한경협 관계자는 “반도체를 중심으로 수출이 양호한 흐름을 보이지만 환율 상승과 관세 부담으로 대다수 제조업종의 어려움이 지속하고 있다”며 “환율·관세 안정화 노력과 함께 주력 업종 경쟁력 회복을 위한 지원책 등을 활용해 기업 활력을 높여야 한다”고 말했다."
경제,2025-11-28T07:15:22z,여기가 동화 속인지 현실인지…세종 베어트리파크 ‘크리스마스 마을’로 변신,https://www.khan.co.kr/article/202511281544001/?utm_source=khan_rss&utm_medium=rss&utm_campaign=economy_news,"내일부터 내년 1월18일까지 축제야간 트리 쇼·마켓 등 볼거리 풍성베어트리파크 설경. 베어트리파크 제공세종에 있는 베어트리파크가 겨울 정원과 미디어 트리, 동화 콘셉트 포토존을 결합한 겨울 축제를 선보인다.베어트리파크는 29일부터 내년 1월18일까지 ‘크리스마스 판타지: 동화 속으로’를 개최한다고 28일 밝혔다. 지난해 겨울 시작해 올해로 3회째를 맞는 이···","내일부터 내년 1월18일까지 축제 야간 트리 쇼·마켓 등 볼거리 풍성 베어트리파크 설경. 베어트리파크 제공 세종에 있는 베어트리파크가 겨울 정원과 미디어 트리, 동화 콘셉트 포토존을 결합한 겨울 축제를 선보인다. 베어트리파크는 29일부터 내년 1월18일까지 ‘크리스마스 판타지: 동화 속으로’를 개최한다고 28일 밝혔다. 지난해 겨울 시작해 올해로 3회째를 맞는 이번 행사는 동화 속 크리스마스 마을을 모티브로 다양한 포토존과 콘텐츠를 선보인다. 베어트리파크 메인 광장에는 15m 높이의 대형 미디어 트리(비트리)가 설치됐다. 크리스마스 캐럴과 조명이 어우러진 미디어 트리 쇼는 크리스마스 당일 일몰 후인 오후 5시45분과 6시30분, 두 차례 약 5분씩 진행된다. 웰컴 하우스 앞 블리스 가든에는 여러 개의 대형 크리스마스 트리와 산타 카트 등이 설치돼 크리스마스 마을 분위기를 연출한다. 정원 곳곳에는 동화 속 동물을 주제로 한 포토존도 마련돼 관람객들이 다양한 사진을 남길 수 있다. 베어트리파크 레드카펫 계단. 베어트리파크 제공 올해로 3년째 운영되는 웰컴 하우스의 레드카펫 계단은 베어트리파크 겨울 축제의 대표 포토존으로 자리 잡았다. 화려한 트리를 배경으로 레드카펫을 걸으면 동화 속 궁전의 주인공이 된 듯한 분위기를 연출한다. 다음달 한 달간 주말과 크리스마스 당일에는 미니 마켓이 운영돼 다양한 크리스마스 소품을 판매한다. 또 산타로 분장한 곰 인형을 찾는 게임, 룰렛 돌리기 등 관람객 참여형 이벤트도 진행되며, 우승자에게는 기념 선물이 제공된다. 베어트리파크는 반달곰·불곰 100여마리를 보유한 동물원이자 수목원으로, 겨울잠을 자지 않는 곰에게 먹이를 주는 체험이 가능해 가족 단위 방문객에게 인기가 높다. 열대식물과 분재를 전시한 실내 식물원, 비단잉어의 겨울 보금자리인 ‘윈터 하우스’도 겨울철 필수 관람 코스로 꼽힌다. 축제 조명은 오후 4시30분에 점등되며 관람은 오후 7시까지(금~일은 오후 8시까지) 가능하다. 베어트리파크 반달곰. 베어트리파크 제공"
